iter	RMSE
0	2692.117809
1	1983.369703
2	1524.937069
3	1195.485752
4	1010.728702
5	908.2528476
6	812.3966093
7	762.6011214
8	733.6146969
9	706.8841148
10	689.4235577
11	675.4050909
12	669.8291911
13	661.9719485
14	654.6709801
15	644.5909246
16	639.7365023
17	635.2476165
18	626.0114884
19	621.5060367
20	618.0568823
21	613.3859253
22	610.331302
23	605.4299714
24	601.3923466
25	598.6176876
26	596.4253859
27	593.9225677
28	592.1571558
29	589.0639788
30	585.9174309
31	582.0535776
32	579.220864
33	576.9847228
34	575.3666833
35	573.5647557
36	570.9756761
37	570.3651727
38	568.3554738
39	567.0528404
40	564.4250001
41	562.3070315
42	560.1301124
43	558.805199
44	556.6392936
45	556.5884032
46	555.2841838
47	554.1562363
48	553.4809844
49	551.2772427
50	550.7622091
51	549.9056974
52	548.8621035
53	547.0796213
54	546.8137462
55	545.6921348
56	545.2410375
57	544.4959121
58	542.3413006
59	542.0135908
60	541.3386706
61	539.9716186
62	539.2195711
63	538.4547444
64	538.4029147
65	537.5371213
66	536.673489
67	535.5678601
68	534.7554239
69	533.2826247
70	531.7649028
71	530.6624497
72	528.5869634
73	527.6680209
74	526.1920891
75	525.4052016
76	524.4022838
77	523.6797854
78	523.0190844
79	522.0486923
80	520.2145215
81	519.3912093
82	518.6046252
83	518.4470109
84	516.6161686
85	515.5557884
86	515.3076854
87	514.5595772
88	513.4360225
89	512.4851125
90	512.1959523
91	512.1814363
92	511.3846218
93	510.9414305
94	509.8240398
95	509.2668879
96	508.6590496
97	508.0591335
98	507.359147
99	506.7081161
100	505.9294676
101	505.0325175
102	504.5282266
103	504.5198953
104	504.1668373
105	503.4124825
106	502.8721699
107	502.6028018
108	502.1971997
109	501.6093155
110	500.7548572
111	499.8636761
112	499.5499077
113	499.4438303
114	499.0579914
115	498.3653529
116	497.8896173
117	496.9649493
118	496.3144062
119	495.1542913
120	494.7870231
121	494.3645537
122	493.6856716
123	493.6335364
124	493.2678507
125	492.1588696
126	491.9538067
127	491.3325034
128	490.9965085
129	490.3333188
130	489.6196
131	488.6863299
132	488.4034506
133	487.7669469
134	487.7025347
135	487.0964414
136	486.6010924
137	486.2841134
138	485.9949523
139	485.1915279
140	485.0930569
141	484.8719372
142	484.6500886
143	484.1095863
144	483.4733933
145	482.5594592
146	481.9187858
147	481.7131927
148	481.6148404
149	480.6910338
150	479.7718683
151	479.3474671
152	479.0795188
153	478.7107052
154	478.2940509
155	477.7899844
156	477.5085236
157	476.7357875
158	476.6169916
159	476.295217
160	475.8847366
161	475.6164577
162	474.7651372
163	474.7140077
164	474.2851909
165	474.1428267
166	473.3233152
167	473.262807
168	472.8176365
169	472.561105
170	472.2002262
171	472.1886365
172	471.9350781
173	471.3429664
174	470.6023466
175	470.3830074
176	470.0337253
177	469.302481
178	468.6104954
179	468.3849964
180	468.2485087
181	467.885795
182	467.5534382
183	467.4316844
184	467.0162163
185	466.9433297
186	466.6815012
187	466.2408943
188	465.5533891
189	465.1796575
190	464.5597353
191	464.0726198
192	463.742281
193	463.4085442
194	462.5793508
195	461.9660927
196	461.7034507
197	461.1350455
198	460.7780594
199	460.5013673
