iter	Passed	Remaining
0	36	7302
1	71	7118
2	108	7144
3	146	7174
4	179	6990
5	214	6933
6	244	6729
7	278	6674
8	312	6628
9	347	6609
10	377	6490
11	409	6417
12	445	6413
13	479	6364
14	514	6347
15	544	6260
16	579	6235
17	623	6308
18	654	6230
19	686	6174
20	727	6200
21	760	6155
22	796	6126
23	835	6127
24	865	6058
25	905	6062
26	937	6009
27	976	5998
28	1020	6016
29	1054	5973
30	1086	5921
31	1123	5898
32	1159	5867
33	1195	5835
34	1239	5842
35	1268	5779
36	1304	5745
37	1339	5712
38	1371	5662
39	1410	5642
40	1449	5620
41	1481	5573
42	1519	5547
43	1553	5508
44	1589	5473
45	1625	5442
46	1662	5411
47	1703	5394
48	1742	5368
49	1777	5331
50	1813	5297
51	1849	5265
52	1889	5239
53	1936	5235
54	1971	5197
55	2012	5173
56	2052	5149
57	2084	5103
58	2124	5077
59	2164	5050
60	2212	5041
61	2251	5011
62	2289	4978
63	2338	4969
64	2377	4938
65	2424	4922
66	2463	4891
67	2507	4867
68	2554	4850
69	2593	4815
70	2633	4784
71	2666	4739
72	2703	4703
73	2739	4664
74	2775	4626
75	2813	4590
76	2850	4552
77	2883	4510
78	2921	4475
79	2954	4432
80	2997	4403
81	3033	4365
82	3066	4322
83	3101	4283
84	3142	4250
85	3179	4214
86	3217	4179
87	3255	4143
88	3294	4109
89	3333	4074
90	3367	4033
91	3405	3997
92	3443	3961
93	3480	3924
94	3517	3887
95	3554	3850
96	3591	3813
97	3629	3777
98	3659	3733
99	3696	3696
100	3731	3657
101	3763	3615
102	3800	3579
103	3831	3537
104	3867	3498
105	3909	3466
106	3948	3431
107	3983	3393
108	4018	3354
109	4054	3317
110	4087	3277
111	4127	3242
112	4160	3203
113	4199	3168
114	4240	3134
115	4290	3107
116	4341	3079
117	4378	3042
118	4418	3007
119	4454	2969
120	4488	2930
121	4528	2895
122	4570	2861
123	4602	2821
124	4638	2782
125	4672	2744
126	4714	2709
127	4748	2670
128	4785	2633
129	4826	2599
130	4865	2562
131	4904	2526
132	4942	2489
133	4988	2457
134	5033	2423
135	5074	2387
136	5117	2353
137	5161	2318
138	5221	2291
139	5300	2271
140	5371	2247
141	5423	2215
142	5461	2176
143	5503	2140
144	5544	2103
145	5581	2064
146	5644	2035
147	5686	1997
148	5725	1959
149	5759	1919
150	5804	1883
151	5838	1843
152	5869	1803
153	5909	1765
154	5940	1724
155	5971	1684
156	6015	1647
157	6049	1607
158	6084	1569
159	6119	1529
160	6150	1489
161	6182	1450
162	6218	1411
163	6247	1371
164	6279	1332
165	6314	1293
166	6347	1254
167	6383	1215
168	6422	1178
169	6453	1138
170	6489	1100
171	6523	1061
172	6556	1023
173	6599	986
174	6634	947
175	6666	909
176	6704	871
177	6739	832
178	6771	794
179	6813	757
180	6846	718
181	6886	681
182	6921	642
183	6959	605
184	6994	567
185	7023	528
186	7055	490
187	7092	452
188	7126	414
189	7160	376
190	7198	339
191	7232	301
192	7271	263
193	7313	226
194	7348	188
195	7385	150
196	7425	113
197	7460	75
198	7502	37
199	7539	0
